area,code,year,total,0-14,15-64,65+
Botswana,72,2030,2800,754,1890,157
Botswana,72,2035,2975,741,2044,190
Botswana,72,2040,3138,732,2169,236
Botswana,72,2045,3288,729,2254,305
Botswana,72,2050,3421,725,2303,393
Botswana,72,2055,3534,717,2343,474
Botswana,72,2060,3624,703,2379,541
Botswana,72,2065,3691,687,2410,594
Botswana,72,2070,3739,671,2433,636
Botswana,72,2075,3773,659,2434,680
Botswana,72,2080,3795,649,2407,738
Botswana,72,2085,3806,639,2374,793
Botswana,72,2090,3806,627,2342,837
Botswana,72,2095,3795,614,2310,871
Botswana,72,2100,3774,601,2277,895
Lesotho,426,2015,2175,775,1303,97
Lesotho,426,2020,2322,814,1404,105
Lesotho,426,2025,2466,849,1508,109
Lesotho,426,2030,2608,855,1643,110
Lesotho,426,2035,2753,851,1791,110
Lesotho,426,2040,2902,849,1936,117
Lesotho,426,2045,3055,851,2065,139
Lesotho,426,2050,3203,849,2172,182
Lesotho,426,2055,3344,842,2263,239
Lesotho,426,2060,3470,828,2340,301
Lesotho,426,2065,3579,812,2402,365
Lesotho,426,2070,3671,794,2459,417
Lesotho,426,2075,3746,776,2502,468
Lesotho,426,2080,3806,759,2515,533
Lesotho,426,2085,3851,741,2511,600
Lesotho,426,2090,3882,722,2499,661
Lesotho,426,2095,3900,704,2483,713
Lesotho,426,2100,3905,686,2460,759
Namibia,516,2015,2426,898,1443,84
Namibia,516,2020,2697,974,1624,99
Namibia,516,2025,2970,1042,1809,119
Namibia,516,2030,3246,1075,2027,144
Namibia,516,2035,3521,1097,2250,173
Namibia,516,2040,3796,1117,2470,209
Namibia,516,2045,4071,1138,2679,254
Namibia,516,2050,4339,1157,2875,308
Namibia,516,2055,4594,1165,3046,382
Namibia,516,2060,4828,1161,3192,474
Namibia,516,2065,5039,1148,3328,563
Namibia,516,2070,5225,1131,3452,642
Namibia,516,2075,5387,1115,3550,721
Namibia,516,2080,5524,1099,3604,821
Namibia,516,2085,5636,1081,3635,920
Namibia,516,2090,5724,1060,3651,1014
Namibia,516,2095,5790,1037,3655,1099
Namibia,516,2100,5835,1015,3645,1175
South Africa,710,2015,55291,16225,36256,2809
South Africa,710,2020,58721,16652,38701,3368
South Africa,710,2025,61790,16809,41014,3968
South Africa,710,2030,64466,16575,43310,4580
South Africa,710,2035,66880,16268,45400,5212
South Africa,710,2040,69076,16005,47167,5905
South Africa,710,2045,71046,15798,48525,6723
South Africa,710,2050,72755,15576,49334,7845
South Africa,710,2055,74195,15279,49796,9119
South Africa,710,2060,75367,14912,50167,10288
South Africa,710,2065,76287,14538,50437,11312
South Africa,710,2070,76963,14198,50536,12228
South Africa,710,2075,77392,13898,50311,13182
South Africa,710,2080,77593,13614,49711,14269
South Africa,710,2085,77582,13319,48993,15270
South Africa,710,2090,77380,13016,48239,16124
South Africa,710,2095,77008,12715,47475,16819
South Africa,710,2100,76488,12437,46668,17383
Swaziland,748,2015,1319,497,781,41
Swaziland,748,2020,1439,526,867,46
Swaziland,748,2025,1555,543,960,53
Swaziland,748,2030,1666,548,1059,60
Swaziland,748,2035,1775,545,1162,67
Swaziland,748,2040,1881,543,1263,76
Swaziland,748,2045,1985,542,1352,90
Swaziland,748,2050,2081,539,1423,120
Swaziland,748,2055,2168,530,1474,164
Swaziland,748,2060,2244,517,1515,212
Swaziland,748,2065,2309,503,1554,252
Swaziland,748,2070,2361,490,1585,287
Swaziland,748,2075,2402,478,1600,324
Swaziland,748,2080,2432,466,1601,365
Swaziland,748,2085,2452,454,1590,407
Swaziland,748,2090,2462,441,1575,445
Swaziland,748,2095,2464,429,1558,477
Swaziland,748,2100,2457,417,1535,505
Western Africa,914,2015,352614,154878,187859,9877
Western Africa,914,2020,402579,173781,217428,11370
Western Africa,914,2025,457752,192094,252312,13345
Western Africa,914,2030,518446,210282,292329,15835
Western Africa,914,2035,584660,229365,336379,18916
Western Africa,914,2040,655870,248828,384060,22982
Western Africa,914,2045,731217,267636,435401,28180
Western Africa,914,2050,809719,284948,490468,34302
Western Africa,914,2055,890569,300550,548997,41023
Western Africa,914,2060,972883,314426,609734,48723
Western Africa,914,2065,1056015,326949,670847,58218
Western Africa,914,2070,1139088,338075,730883,70130
Western Africa,914,2075,1220931,347617,788720,84595
Western Africa,914,2080,1300332,355096,844027,101209
Western Africa,914,2085,1376452,360407,896855,119190
Western Africa,914,2090,1448505,363855,946185,138465
Western Africa,914,2095,1515751,365607,990915,159229
Western Africa,914,2100,1577690,365846,1030315,181530
Benin,204,2015,10576,4552,5683,341
Benin,204,2020,12123,5085,6641,398
Benin,204,2025,13809,5611,7729,470
Benin,204,2030,15628,6132,8933,563
Benin,204,2035,17568,6655,10235,678
Benin,204,2040,19614,7166,11636,812
Benin,204,2045,21742,7651,13121,969
Benin,204,2050,23930,8103,14671,1156
Benin,204,2055,26161,8520,16261,1380
Benin,204,2060,28413,8905,17858,1650
Benin,204,2065,30668,9262,19443,1962
Benin,204,2070,32890,9577,21004,2309
Benin,204,2075,35058,9847,22510,2700
Benin,204,2080,37145,10064,23956,3126
Benin,204,2085,39136,10238,25327,3571
Benin,204,2090,41008,10363,26608,4037
Benin,204,2095,42740,10435,27782,4523
Benin,204,2100,44325,10456,28842,5027
Burkina Faso,854,2015,18111,8254,9421,436
Burkina Faso,854,2020,20903,9275,11125,504
Burkina Faso,854,2025,23991,10246,13140,605
Burkina Faso,854,2030,27382,11247,15396,740
Burkina Faso,854,2035,31053,12272,17863,918
Burkina Faso,854,2040,34954,13280,20540,1134
Burkina Faso,854,2045,39024,14207,23397,1420
Burkina Faso,854,2050,43207,15023,26413,1771
Burkina Faso,854,2055,47475,15742,29566,2167
Burkina Faso,854,2060,51778,16379,32768,2631
Burkina Faso,854,2065,56078,16954,35931,3193
Burkina Faso,854,2070,60328,17445,38992,3891
Burkina Faso,854,2075,64467,17841,41878,4748
Burkina Faso,854,2080,68433,18120,44616,5697
Burkina Faso,854,2085,72178,18290,47178,6710
Burkina Faso,854,2090,75652,18353,49508,7791
Burkina Faso,854,2095,78839,18332,51558,8949
Burkina Faso,854,2100,81723,18236,53308,10179
Cabo Verde,132,2015,533,166,343,24
Cabo Verde,132,2020,567,165,376,26
Cabo Verde,132,2025,602,163,407,32
Cabo Verde,132,2030,635,161,431,43
Cabo Verde,132,2035,665,156,457,53
Cabo Verde,132,2040,692,149,481,62
Cabo Verde,132,2045,715,144,499,73
Cabo Verde,132,2050,734,139,506,90
Cabo Verde,132,2055,749,135,503,111
Cabo Verde,132,2060,760,130,496,133
Cabo Verde,132,2065,766,126,487,152
Cabo Verde,132,2070,767,122,478,167
Cabo Verde,132,2075,764,118,468,178
Cabo Verde,132,2080,758,115,457,186
Cabo Verde,132,2085,749,111,443,194
Cabo Verde,132,2090,738,109,429,201
Cabo Verde,132,2095,727,106,416,205
Cabo Verde,132,2100,714,103,404,208
Côte d'Ivoire,384,2015,23108,9868,12574,667
Côte d'Ivoire,384,2020,26172,10988,14406,777
Côte d'Ivoire,384,2025,29591,12223,16464,903
Côte d'Ivoire,384,2030,33337,13435,18858,1045
Côte d'Ivoire,384,2035,37411,14623,21579,1209
Côte d'Ivoire,384,2040,41796,15820,24555,1422
Côte d'Ivoire,384,2045,46464,17033,27726,1704
Côte d'Ivoire,384,2050,51375,18230,31114,2031
Côte d'Ivoire,384,2055,56480,19378,34671,2430
Côte d'Ivoire,384,2060,61751,20480,38332,2939
Côte d'Ivoire,384,2065,67133,21523,42051,3559
Côte d'Ivoire,384,2070,72573,22508,45851,4214
Côte d'Ivoire,384,2075,78013,23396,49702,4915
Côte d'Ivoire,384,2080,83414,24192,53491,5731
Côte d'Ivoire,384,2085,88718,24875,57182,6661
Côte d'Ivoire,384,2090,93889,25464,60751,7675
Côte d'Ivoire,384,2095,98850,25913,64184,8752
Côte d'Ivoire,384,2100,103563,26240,67427,9896
Gambia,270,2015,1978,903,1028,46
Gambia,270,2020,2293,1020,1218,55
Gambia,270,2025,2636,1130,1438,67
Gambia,270,2030,3001,1229,1689,83
Gambia,270,2035,3383,1321,1960,103
Gambia,270,2040,3777,1402,2254,122
Gambia,270,2045,4173,1467,2555,151
Gambia,270,2050,4562,1513,2864,185
Gambia,270,2055,4941,1542,3176,222
Gambia,270,2060,5304,1561,3478,266
Gambia,270,2065,5649,1572,3755,322
Gambia,270,2070,5970,1577,4002,391
Gambia,270,2075,6262,1574,4216,471
Gambia,270,2080,6519,1564,4396,560
Gambia,270,2085,6740,1545,4543,652
Gambia,270,2090,6923,1523,4656,745
Gambia,270,2095,7069,1497,4735,837
Gambia,270,2100,7180,1470,4783,927
Ghana,288,2015,27583,10701,15948,934
Ghana,288,2020,30734,11649,18042,1043
Ghana,288,2025,33970,12359,20368,1242
Ghana,288,2030,37294,12842,22950,1502
Ghana,288,2035,40719,13368,25506,1845
Ghana,288,2040,44222,13969,28009,2244
Ghana,288,2045,47767,14594,30451,2722
Ghana,288,2050,51270,15137,32861,3271
Ghana,288,2055,54656,15532,35275,3849
Ghana,288,2060,57897,15782,37650,4466
Ghana,288,2065,60995,15957,39909,5129
Ghana,288,2070,63943,16111,42017,5816
Ghana,288,2075,66711,16227,43826,6658
Ghana,288,2080,69256,16263,45332,7661
Ghana,288,2085,71546,16201,46711,8634
Ghana,288,2090,73544,16048,47954,9542
Ghana,288,2095,75273,15842,49004,10427
Ghana,288,2100,76755,15618,49801,11336
Guinea,324,2015,12092,5157,6565,369
Guinea,324,2020,13751,5709,7594,447
Guinea,324,2025,15612,6267,8810,535
Guinea,324,2030,17631,6823,10178,630
Guinea,324,2035,19789,7360,11693,735
Guinea,324,2040,22060,7862,13327,871
Guinea,324,2045,24424,8322,15045,1057
Guinea,324,2050,26852,8735,16813,1305
Guinea,324,2055,29313,9099,18596,1618
Guinea,324,2060,31778,9413,20363,2002
Guinea,324,2065,34213,9674,22086,2453
Guinea,324,2070,36590,9888,23727,2976
Guinea,324,2075,38882,10047,25261,3574
Guinea,324,2080,41068,10158,26681,4229
Guinea,324,2085,43121,10214,27970,4938
Guinea,324,2090,45026,10223,29109,5694
Guinea,324,2095,46762,10181,30094,6487
Guinea,324,2100,48327,10107,30916,7305
Guinea-Bissau,624,2015,1771,738,981,51
Guinea-Bissau,624,2020,2001,818,1119,63
Guinea-Bissau,624,2025,2242,883,1286,73
Guinea-Bissau,624,2030,2493,934,1476,83
Guinea-Bissau,624,2035,2755,982,1677,96
Guinea-Bissau,624,2040,3031,1035,1879,117
Guinea-Bissau,624,2045,3316,1090,2082,144
Guinea-Bissau,624,2050,3603,1140,2281,182
Guinea-Bissau,624,2055,3886,1179,2481,226
Guinea-Bissau,624,2060,4163,1209,2682,272
Guinea-Bissau,624,2065,4432,1233,2882,317
Guinea-Bissau,624,2070,4691,1254,3072,365
Guinea-Bissau,624,2075,4939,1272,3242,425
Guinea-Bissau,624,2080,5171,1282,3392,497
Guinea-Bissau,624,2085,5385,1284,3528,573
Guinea-Bissau,624,2090,5578,1277,3653,648
Guinea-Bissau,624,2095,5750,1266,3763,721
Guinea-Bissau,624,2100,5901,1252,3852,796
Liberia,430,2015,4500,1907,2456,136
Liberia,430,2020,5104,2083,2862,159
Liberia,430,2025,5770,2266,3314,190
Liberia,430,2030,6495,2466,3800,229
Liberia,430,2035,7271,2666,4326,280
Liberia,430,2040,8088,2854,4888,345
Liberia,430,2045,8935,3024,5482,429
Liberia,430,2050,9804,3176,6098,530
Liberia,430,2055,10689,3312,6734,643
Liberia,430,2060,11581,3435,7379,768
Liberia,430,2065,12472,3544,7996,932
Liberia,430,2070,13349,3634,8577,1138
Liberia,430,2075,14202,3702,9133,1367
Liberia,430,2080,15022,3748,9668,1607
Liberia,430,2085,15798,3772,10162,1864
Liberia,430,2090,16523,3778,10606,2139
Liberia,430,2095,17191,3767,10992,2432
Liberia,430,2100,17801,3742,11319,2740
Mali,466,2015,17468,8372,8653,443
Mali,466,2020,20284,9533,10248,504
Mali,466,2025,23476,10632,12274,570
Mali,466,2030,27057,11808,14589,660
Mali,466,2035,30983,13038,17139,806
Mali,466,2040,35174,14201,19949,1023
Mali,466,2045,39542,15207,23046,1289
Mali,466,2050,44020,16038,26400,1582
Mali,466,2055,48576,16734,29947,1895
Mali,466,2060,53154,17323,33556,2275
Mali,466,2065,57707,17826,37112,2770
Mali,466,2070,62163,18215,40488,3460
Mali,466,2075,66437,18478,43604,4355
Mali,466,2080,70467,18608,46519,5339
Mali,466,2085,74190,18616,49187,6387
Mali,466,2090,77564,18534,51508,7522
Mali,466,2095,80575,18381,53433,8761
Mali,466,2100,83207,18179,54951,10077
Mauritania,478,2015,4182,1683,2370,130
Mauritania,478,2020,4784,1878,2751,155
Mauritania,478,2025,5417,2060,3166,190
Mauritania,478,2030,6077,2221,3621,235
Mauritania,478,2035,6766,2379,4099,289
Mauritania,478,2040,7482,2537,4592,353
Mauritania,478,2045,8218,2694,5096,428
Mauritania,478,2050,8965,2843,5610,512
Mauritania,478,2055,9713,2978,6132,603
Mauritania,478,2060,10457,3097,6659,701
Mauritania,478,2065,11191,3203,7181,806
Mauritania,478,2070,11908,3298,7690,920
Mauritania,478,2075,12603,3380,8171,1051
Mauritania,478,2080,13270,3450,8618,1202
Mauritania,478,2085,13903,3507,9038,1358
Mauritania,478,2090,14490,3545,9431,1514
Mauritania,478,2095,15029,3567,9794,1669
Mauritania,478,2100,15519,3571,10121,1827
Niger,562,2015,19897,9989,9402,506
Niger,562,2020,24075,12006,11449,620
Niger,562,2025,29079,14319,13985,775
Niger,562,2030,34994,16959,17072,962
Niger,562,2035,41876,19887,20881,1107
Niger,562,2040,49755,23019,25454,1281
Niger,562,2045,58628,26271,30840,1517
Niger,562,2050,68454,29550,37099,1805
Niger,562,2055,79164,32772,44247,2146
Niger,562,2060,90655,35862,52186,2607
Niger,562,2065,102792,38754,60706,3333
Niger,562,2070,115399,41367,69694,4338
Niger,562,2075,128363,43715,79047,5600
Niger,562,2080,141454,45727,88612,7115
Niger,562,2085,154537,47461,98166,8910
Niger,562,2090,167455,48869,107549,11037
Niger,562,2095,180052,50002,116521,13529
Niger,562,2100,192187,50832,124959,16395
Nigeria,566,2015,181182,79928,96296,4957
Nigeria,566,2020,206153,89595,110908,5650
Nigeria,566,2025,233692,98881,128253,6557
Nigeria,566,2030,264068,108008,148355,7704
Nigeria,566,2035,297323,117626,170552,9145
Nigeria,566,2040,333172,127452,194587,11133
Nigeria,566,2045,371119,136850,220583,13686
Nigeria,566,2050,410638,145357,248639,16642
Nigeria,566,2055,451311,152922,278607,19782
Nigeria,566,2060,492643,159537,309803,23304
Nigeria,566,2065,534359,165474,341145,27740
Nigeria,566,2070,576062,170765,371714,33583
Nigeria,566,2075,617055,175311,400997,40747
Nigeria,566,2080,656684,178812,428805,49067
Nigeria,566,2085,694557,181128,455277,58152
Nigeria,566,2090,730325,182557,479831,67938
Nigeria,566,2095,763551,183153,501868,78530
Nigeria,566,2100,793942,183009,521000,89934
Senegal,686,2015,14977,6449,8079,449
Senegal,686,2020,17200,7278,9399,523
Senegal,686,2025,19577,7965,10995,617
Senegal,686,2030,22123,8540,12842,741
Senegal,686,2035,24861,9170,14782,909
Senegal,686,2040,27785,9866,16778,1141
Senegal,686,2045,30859,10577,18833,1449
Senegal,686,2050,34031,11233,20947,1850
Senegal,686,2055,37255,11794,23161,2300
Senegal,686,2060,40507,12271,25447,2789
Senegal,686,2065,43774,12699,27760,3315
Senegal,686,2070,47045,13106,30009,3929
Senegal,686,2075,50289,13480,32097,4713
Senegal,686,2080,53471,13792,34026,5653
Senegal,686,2085,56552,14020,35908,6624
Senegal,686,2090,59482,14155,37719,7609
Senegal,686,2095,62240,14216,39405,8620
Senegal,686,2100,64806,14212,40909,9684
Sierra Leone,694,2015,7237,3093,3963,181
Sierra Leone,694,2020,8047,3293,4550,204
Sierra Leone,694,2025,8874,3437,5206,230
Sierra Leone,694,2030,9720,3571,5880,268
Sierra Leone,694,2035,10568,3678,6568,321
Sierra Leone,694,2040,11403,3755,7252,396
Sierra Leone,694,2045,12209,3797,7922,490
Sierra Leone,694,2050,12972,3811,8560,601
Sierra Leone,694,2055,13682,3804,9159,719
Sierra Leone,694,2060,14325,3778,9698,850
Sierra Leone,694,2065,14894,3734,10151,1008
Sierra Leone,694,2070,15380,3674,10510,1196
Sierra Leone,694,2075,15779,3603,10770,1406
Sierra Leone,694,2080,16083,3523,10962,1599
Sierra Leone,694,2085,16300,3440,11078,1782
Sierra Leone,694,2090,16435,3357,11125,1954
Sierra Leone,694,2095,16496,3274,11107,2115
Sierra Leone,694,2100,16491,3191,11038,2262
Togo,768,2015,7417,3117,4093,207
Togo,768,2020,8384,3405,4736,243
Togo,768,2025,9411,3650,5474,287
Togo,768,2030,10507,3906,6256,345
Togo,768,2035,11663,4184,7058,422
Togo,768,2040,12861,4461,7876,524
Togo,768,2045,14079,4710,8720,649
Togo,768,2050,15298,4920,9591,788
Togo,768,2055,16514,5103,10479,932
Togo,768,2060,17712,5264,11378,1070
Togo,768,2065,18888,5412,12250,1225
Togo,768,2070,20024,5534,13055,1434
Togo,768,2075,21104,5625,13794,1685
Togo,768,2080,22114,5680,14495,1938
Togo,768,2085,23039,5706,15153,2181
Togo,768,2090,23869,5702,15747,2420
Togo,768,2095,24605,5675,16258,2671
Togo,768,2100,25247,5627,16684,2936
ASIA,935,2015,4419898,1085155,2999999,334743
ASIA,935,2020,4623454,1088591,3123640,411223
ASIA,935,2025,4799910,1072825,3239640,487444
ASIA,935,2030,4946586,1043870,3321010,581706
ASIA,935,2035,5064480,1012076,3361841,690562
ASIA,935,2040,5154419,985735,3380866,787818
ASIA,935,2045,5218558,964893,3394935,858731
ASIA,935,2050,5256927,945754,3374552,936621
ASIA,935,2055,5269932,923772,3312017,1034142
ASIA,935,2060,5259717,897286,3264870,1097561
ASIA,935,2065,5230800,869387,3228089,1133324
ASIA,935,2070,5187459,844087,3181725,1161647
ASIA,935,2075,5133008,822832,3118143,1192033
ASIA,935,2080,5069808,803794,3044103,1221910
ASIA,935,2085,5000932,784732,2969556,1246643
ASIA,935,2090,4929164,764393,2900737,1264034
ASIA,935,2095,4855624,743607,2836158,1275859
ASIA,935,2100,4780485,723917,2773029,1283539
Eastern Asia,906,2015,1635150,281036,1172486,181628
Eastern Asia,906,2020,1663619,281933,1156575,225110
Eastern Asia,906,2025,1677633,272305,1145258,260069
Eastern Asia,906,2030,1678653,253988,1117909,306756
Eastern Asia,906,2035,1668496,237718,1065912,364866
Eastern Asia,906,2040,1648802,227928,1012232,408642
Eastern Asia,906,2045,1621232,222917,976958,421356
Eastern Asia,906,2050,1586491,219272,934231,432989
Eastern Asia,906,2055,1545497,213952,867683,463863
Eastern Asia,906,2060,1500412,206235,828081,466097
Eastern Asia,906,2065,1454308,198031,807091,449186
Eastern Asia,906,2070,1409557,191491,786603,431463
Eastern Asia,906,2075,1366880,187161,760455,419265
Eastern Asia,906,2080,1326473,183880,729183,413409
Eastern Asia,906,2085,1289163,180270,701589,407304
Eastern Asia,906,2090,1255774,175735,680531,399509
Eastern Asia,906,2095,1226053,170746,663560,391747
Eastern Asia,906,2100,1198265,166145,647933,384187
China,156,2015,1397029,247073,1014777,135179
China,156,2020,1424548,248745,1002172,173631
China,156,2025,1438836,239490,995649,203697
China,156,2030,1441182,221682,973598,245902
China,156,2035,1433509,206211,928118,299180
China,156,2040,1417473,197476,882085,337911
China,156,2045,1394361,193569,852347,348444
China,156,2050,1364457,190703,814862,358892
China,156,2055,1328501,185736,752495,390269
China,156,2060,1288707,178210,717167,393330
China,156,2065,1248118,170309,699776,378032
China,156,2070,1208909,164282,681614,363013
China,156,2075,1171510,160613,657333,353563
China,156,2080,1135754,157976,628047,349731
China,156,2085,1102475,154850,602611,345015
China,156,2090,1072519,150621,583784,338114
China,156,2095,1045801,145883,569010,330909
China,156,2100,1020665,141603,555301,323762
"China, Hong Kong SAR",344,2015,7246,810,5333,1103
"China, Hong Kong SAR",344,2020,7548,958,5220,1369
"China, Hong Kong SAR",344,2025,7769,1066,4984,1718
"China, Hong Kong SAR",344,2030,7987,1153,4764,2071
"China, Hong Kong SAR",344,2035,8127,1129,4683,2315
"China, Hong Kong SAR",344,2040,8199,1056,4634,2510
"China, Hong Kong SAR",344,2045,8234,994,4576,2664
"China, Hong Kong SAR",344,2050,8253,1008,4446,2798
"China, Hong Kong SAR",344,2055,8267,1079,4323,2866
"China, Hong Kong SAR",344,2060,8276,1155,4224,2898
"China, Hong Kong SAR",344,2065,8272,1193,4239,2841
"China, Hong Kong SAR",344,2070,8251,1183,4364,2703
"China, Hong Kong SAR",344,2075,8215,1148,4454,2613
"China, Hong Kong SAR",344,2080,8182,1125,4512,2545
"China, Hong Kong SAR",344,2085,8171,1137,4485,2549
"China, Hong Kong SAR",344,2090,8191,1171,4420,2600
"China, Hong Kong SAR",344,2095,8238,1203,4360,2674
"China, Hong Kong SAR",344,2100,8299,1211,4360,2728
"China, Macao SAR",446,2015,601,75,475,52
"China, Macao SAR",446,2020,652,96,478,78
"China, Macao SAR",446,2025,701,114,476,111
"China, Macao SAR",446,2030,746,120,477,149
"China, Macao SAR",446,2035,784,116,491,176
"China, Macao SAR",446,2040,817,112,503,202
"China, Macao SAR",446,2045,847,113,517,217
"China, Macao SAR",446,2050,876,120,510,245
"China, Macao SAR",446,2055,902,131,494,277
"China, Macao SAR",446,2060,926,139,492,294
"China, Macao SAR",446,2065,946,143,505,298
"China, Macao SAR",446,2070,964,144,529,291
"China, Macao SAR",446,2075,978,144,549,285
"China, Macao SAR",446,2080,991,146,558,288
"China, Macao SAR",446,2085,1004,150,559,295
"China, Macao SAR",446,2090,1017,154,559,304
"China, Macao SAR",446,2095,1034,157,562,315
"China, Macao SAR",446,2100,1052,158,569,325
"China, Taiwan Province of China",158,2015,23486,3233,17373,2879
"China, Taiwan Province of China",158,2020,23818,3097,17010,3711
"China, Taiwan Province of China",158,2025,24045,3201,16211,4633
"China, Taiwan Province of China",158,2030,24151,3228,15372,5551
"China, Taiwan Province of China",158,2035,24101,3155,14635,6311
"China, Taiwan Province of China",158,2040,23830,2987,13995,6848
"China, Taiwan Province of China",158,2045,23359,2776,13127,7457
"China, Taiwan Province of China",158,2050,22771,2628,12286,7857
"China, Taiwan Province of China",158,2055,22127,2605,11632,7890
"China, Taiwan Province of China",158,2060,21464,2656,10912,7896
"China, Taiwan Province of China",158,2065,20786,2687,10291,7809
"China, Taiwan Province of China",158,2070,20086,2648,9973,7465
"China, Taiwan Province of China",158,2075,19371,2551,9893,6927
"China, Taiwan Province of China",158,2080,18684,2441,9743,6499
"China, Taiwan Province of China",158,2085,18085,2372,9510,6203
"China, Taiwan Province of China",158,2090,17596,2359,9232,6006
"China, Taiwan Province of China",158,2095,17201,2373,8945,5884
"China, Taiwan Province of China",158,2100,16887,2371,8712,5804
Dem. People's Republic of Korea,408,2015,25244,5328,17468,2448
Dem. People's Republic of Korea,408,2020,25841,5163,18268,2410
Dem. People's Republic of Korea,408,2025,26351,5158,18209,2984
Dem. People's Republic of Korea,408,2030,26744,5135,18205,3404
Dem. People's Republic of Korea,408,2035,26972,4999,17702,4271
Dem. People's Republic of Korea,408,2040,27035,4776,17251,5007
Dem. People's Republic of Korea,408,2045,26967,4557,17305,5105
Dem. People's Republic of Korea,408,2050,26809,4420,17078,5311
Dem. People's Republic of Korea,408,2055,26586,4358,16727,5501
Dem. People's Republic of Korea,408,2060,26321,4305,16236,5780
Dem. People's Republic of Korea,408,2065,26024,4204,15797,6023
Dem. People's Republic of Korea,408,2070,25708,4061,15419,6229
Dem. People's Republic of Korea,408,2075,25376,3916,15146,6314
Dem. People's Republic of Korea,408,2080,25032,3810,14843,6378
Dem. People's Republic of Korea,408,2085,24678,3743,14464,6471
Dem. People's Republic of Korea,408,2090,24318,3687,14047,6584
Dem. People's Republic of Korea,408,2095,23952,3614,13657,6681
Dem. People's Republic of Korea,408,2100,23581,3520,13335,6727
Japan,392,2015,127975,16626,78056,33293
Japan,392,2020,126496,16105,74704,35687
Japan,392,2025,124310,15466,72473,36371
Japan,392,2030,121581,14841,69899,36840
Japan,392,2035,118500,14388,66470,37642
Japan,392,2040,115212,14102,61654,39456
Japan,392,2045,111923,13889,58227,39807
Japan,392,2050,108794,13658,55566,39570
Japan,392,2055,105805,13368,53639,38798
Japan,392,2060,102747,13041,52189,37518
Japan,392,2065,99543,12738,50746,36060
Japan,392,2070,96369,12497,49450,34422
Japan,392,2075,93478,12308,48138,33031
Japan,392,2080,91101,12134,46898,32069
Japan,392,2085,89126,11938,45836,31351
Japan,392,2090,87443,11717,44929,30796
Japan,392,2095,85934,11485,44099,30350
Japan,392,2100,84532,11267,43267,29999
Mongolia,496,2015,2977,857,2004,116
Mongolia,496,2020,3209,973,2096,141
Mongolia,496,2025,3402,1002,2214,186
Mongolia,496,2030,3561,932,2376,253
Mongolia,496,2035,3698,877,2504,317
Mongolia,496,2040,3827,859,2584,384
Mongolia,496,2045,3954,876,2630,448
Mongolia,496,2050,4075,909,2649,518
Mongolia,496,2055,4177,924,2639,613
Mongolia,496,2060,4250,906,2680,663
Mongolia,496,2065,4302,867,2766,669
Mongolia,496,2070,4345,833,2850,662
Mongolia,496,2075,4388,821,2865,702
Mongolia,496,2080,4434,824,2802,808
Mongolia,496,2085,4480,829,2755,896
Mongolia,496,2090,4516,822,2736,958
Mongolia,496,2095,4536,801,2739,996
Mongolia,496,2100,4541,777,2744,1020
Republic of Korea,410,2015,50594,7035,36999,6560
Republic of Korea,410,2020,51507,6796,36628,8083
Republic of Korea,410,2025,52219,6808,35041,10370
Republic of Korea,410,2030,52702,6897,33219,12586
Republic of Korea,410,2035,52806,6843,31309,14654
Republic of Korea,410,2040,52409,6561,29526,16323
Republic of Korea,410,2045,51586,6142,28230,17214
Republic of Korea,410,2050,50457,5826,26834,17797
Republic of Korea,410,2055,49132,5752,25733,17647
Republic of Korea,410,2060,47721,5823,24181,17717
Republic of Korea,410,2065,46315,5889,22972,17454
Republic of Korea,410,2070,44925,5843,22403,16678
Republic of Korea,410,2075,43566,5660,22076,15830
Republic of Korea,410,2080,42294,5423,21781,15091
Republic of Korea,410,2085,41145,5252,21369,14524
Republic of Korea,410,2090,40175,5205,20824,14146
Republic of Korea,410,2095,39357,5231,20188,13938
Republic of Korea,410,2100,38707,5238,19647,13822
South-Central Asia,921,2015,1892013,557368,1232592,102054
South-Central Asia,921,2020,2009437,555884,1330007,123546
South-Central Asia,921,2025,2118732,547750,1421925,149057
South-Central Asia,921,2030,2216422,539201,1498914,178307
South-Central Asia,921,2035,2301268,526341,1565668,209259
South-Central Asia,921,2040,2372647,512141,1618104,242402
South-Central Asia,921,2045,2431099,498008,1652181,280910
South-Central Asia,921,2050,2476228,484299,1664741,327187
South-Central Asia,921,2055,2507561,470283,1661960,375319
South-Central Asia,921,2060,2524954,455208,1651376,418371
South-Central Asia,921,2065,2529274,439753,1633273,456247
South-Central Asia,921,2070,2521785,425153,1607302,489329
South-Central Asia,921,2075,2504495,411956,1573127,519412
South-Central Asia,921,2080,2479174,399685,1537664,541825
South-Central Asia,921,2085,2447703,387784,1498757,561162
South-Central Asia,921,2090,2411669,375847,1459328,576494
South-Central Asia,921,2095,2372135,364181,1420111,587843
South-Central Asia,921,2100,2330653,353265,1381555,595833
Central Asia,5500,2015,68705,19964,45470,3271
Central Asia,5500,2020,73821,21947,47818,4057
Central Asia,5500,2025,78223,22247,50747,5229
Central Asia,5500,2030,81973,21100,54198,6675
Central Asia,5500,2035,85406,20193,57458,7756
Central Asia,5500,2040,88711,20030,59839,8842
Central Asia,5500,2045,91800,20403,61421,9976
Central Asia,5500,2050,94431,20638,62305,11488
Central Asia,5500,2055,96474,20331,62479,13663
